lane_id,lane_type,lane_priority,lane_order,lane_estimated_minutes_per_row,manual_rank,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,manual_bucket,risk_level,recommended_next_step,url,domain,canonical_name,pricing,lang,classification,candidate_import_recommendation,occurrence_count,registry_target_ids,registry_submit_urls,source_files,source_locations,latest_batch_id,evidence_file,suggestion_file,http_status,fetch_ok,final_url,form_count,input_count,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,safety_gate_reason,safety_gate_batch_id,safety_gate_report,checked_at
coverage-review-p2-006,coverage_manual_review_p2,P2,1,4,118,P2,26,367,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,fetch_failed_cannot_decide,unknown_manual_risk,"Retry in browser; do not reject based only on fetch failure, timeout, 403, 429, CAPTCHA, or Cloudflare.",https://www.moonsoap.com/hpgen/HPB/entries/8.html,moonsoap.com,moonsoap.com,unknown,unknown,missing_domain,needs_manual_review,1,,,resources/backlink-resources.json,resources/backlink-resources.json:2171,p2-reclass-005,p2-recheck-004-evidence.csv,p2-reclass-005-suggestions.csv,,no,,0,0,no,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,,,2026-05-22T11:30:51.061Z
coverage-review-p2-006,coverage_manual_review_p2,P2,2,4,119,P2,26,379,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,medium_confidence_requires_human_confirmation,fit_risk,Decide whether this is assisted/manual-strategic; do not automate without explicit login/session plan and persisted selectors.,https://nasze-lasie-pl.sugester.pl/167783170-ChatGPT-in-Spain-Revolutionizing-Communication-and-AI-Interaction?order=popular&page=2,nasze-lasie-pl.sugester.pl,nasze-lasie-pl.sugester.pl,unknown,unknown,missing_domain,needs_manual_review,1,,,resources/backlink-resources.json,resources/backlink-resources.json:906,p2-reclass-005,p2-recheck-004-evidence.csv,p2-reclass-005-suggestions.csv,200,yes,https://nasze-lasie-pl.sugester.pl/?error=private_forum,1,19,no,no,no,no,yes,no,no,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; 1 form(s), 19 input/select/textarea fields; submit/add/list/publish button text signal found",,,,2026-05-22T11:31:13.224Z
coverage-review-p2-006,coverage_manual_review_p2,P2,3,4,120,P2,26,380,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,medium_confidence_requires_human_confirmation,fit_risk,Decide whether this is assisted/manual-strategic; do not automate without explicit login/session plan and persisted selectors.,https://nasze-lasie-pl.sugester.pl/18132-o-stronie-wiadomosci-na-glownej-itp?order=popular,nasze-lasie-pl.sugester.pl,nasze-lasie-pl.sugester.pl,unknown,unknown,missing_domain,needs_manual_review,1,,,resources/backlink-resources.json,resources/backlink-resources.json:312,p2-reclass-005,p2-recheck-004-evidence.csv,p2-reclass-005-suggestions.csv,200,yes,https://nasze-lasie-pl.sugester.pl/?error=private_forum,1,19,no,no,no,no,yes,no,no,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; 1 form(s), 19 input/select/textarea fields; submit/add/list/publish button text signal found",,,,2026-05-22T11:31:15.687Z
coverage-review-p2-006,coverage_manual_review_p2,P2,4,4,121,P2,26,409,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,medium_confidence_requires_human_confirmation,fit_risk,Decide whether this is assisted/manual-strategic; do not automate without explicit login/session plan and persisted selectors.,https://www.papertraildesign.com/football-water-bottle-labels-free-printable,papertraildesign.com,papertraildesign.com,unknown,unknown,missing_domain,needs_manual_review,1,,,resources/backlink-resources.json,resources/backlink-resources.json:1797,p2-reclass-005,p2-recheck-004-evidence.csv,p2-reclass-005-suggestions.csv,200,yes,https://www.papertraildesign.com/football-water-bottle-labels-free-printable/,3,16,no,yes,no,no,yes,yes,no,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 16 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,,,2026-05-22T11:30:38.054Z
coverage-review-p2-006,coverage_manual_review_p2,P2,5,4,122,P2,26,412,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,fetch_failed_cannot_decide,unknown_manual_risk,"Retry in browser; do not reject based only on fetch failure, timeout, 403, 429, CAPTCHA, or Cloudflare.",https://www.patisserie-okumoto.com/hpgen/HPB/entries/1.html?https%3A%2F%2Ffuhrerschein-eu.com%2F=,patisserie-okumoto.com,patisserie-okumoto.com,unknown,unknown,missing_domain,needs_manual_review,1,,,resources/backlink-resources.json,resources/backlink-resources.json:2402,p2-reclass-005,p2-recheck-004-evidence.csv,p2-reclass-005-suggestions.csv,,no,,0,0,no,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,,,2026-05-22T11:30:43.896Z
coverage-review-p2-006,coverage_manual_review_p2,P2,6,4,123,P2,26,418,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,fetch_failed_cannot_decide,unknown_manual_risk,"Retry in browser; do not reject based only on fetch failure, timeout, 403, 429, CAPTCHA, or Cloudflare.",https://pharmahub.org/kb/registration/login2,pharmahub.org,pharmahub.org,unknown,unknown,missing_domain,needs_manual_review,1,,,resources/backlink-resources.json,resources/backlink-resources.json:444,p2-reclass-005,p2-recheck-004-evidence.csv,p2-reclass-005-suggestions.csv,,no,,0,0,no,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,,,2026-05-22T11:30:58.136Z
coverage-review-p2-006,coverage_manual_review_p2,P2,7,4,124,P2,26,419,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,medium_confidence_requires_human_confirmation,fit_risk,Decide whether this is assisted/manual-strategic; do not automate without explicit login/session plan and persisted selectors.,https://www.pinkcaddytravelogue.com/7-day-iceland-itinerary,pinkcaddytravelogue.com,pinkcaddytravelogue.com,unknown,unknown,missing_domain,needs_manual_review,1,,,resources/backlink-resources.json,resources/backlink-resources.json:1412,p2-reclass-005,p2-recheck-004-evidence.csv,p2-reclass-005-suggestions.csv,200,yes,https://www.pinkcaddytravelogue.com/7-day-iceland-itinerary/,2,17,no,no,no,no,yes,yes,no,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; 2 form(s), 17 input/select/textarea fields; submit/add/list/publish button text signal found",,,,2026-05-22T11:31:08.669Z
coverage-review-p2-006,coverage_manual_review_p2,P2,8,4,125,P2,26,457,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,medium_confidence_requires_human_confirmation,fit_risk,Decide whether this is assisted/manual-strategic; do not automate without explicit login/session plan and persisted selectors.,https://ru.esosedi.org/RU/BA/8564043/ust_saldyibash,ru.esosedi.org,ru.esosedi.org,unknown,unknown,missing_domain,needs_manual_review,1,,,resources/backlink-resources.json,resources/backlink-resources.json:114,p2-reclass-005,p2-recheck-004-evidence.csv,p2-reclass-005-suggestions.csv,200,yes,https://esosedi.org/,0,0,no,no,no,no,no,yes,no,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: Cloudflare/human verification signal found; final domain changed to esosedi.org,,,,2026-05-22T11:32:10.682Z
coverage-review-p2-006,coverage_manual_review_p2,P2,9,4,126,P2,26,530,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,fetch_failed_cannot_decide,unknown_manual_risk,"Retry in browser; do not reject based only on fetch failure, timeout, 403, 429, CAPTCHA, or Cloudflare.",https://threewood.jp/hpgen/HPB/entries/25.html,threewood.jp,threewood.jp,unknown,unknown,missing_domain,needs_manual_review,1,,,resources/backlink-resources.json,resources/backlink-resources.json:1665,p2-reclass-005,p2-recheck-004-evidence.csv,p2-reclass-005-suggestions.csv,,no,,0,0,no,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: This operation was aborted,,,,2026-05-22T11:32:36.019Z
coverage-review-p2-006,coverage_manual_review_p2,P2,10,4,127,P2,26,568,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,medium_confidence_requires_human_confirmation,fit_risk,Decide whether this is assisted/manual-strategic; do not automate without explicit login/session plan and persisted selectors.,https://yandex.com/indexnow,yandex.com,yandex.com,unknown,unknown,missing_domain,needs_manual_review,1,,,src/indexnow.js,src/indexnow.js:15,p2-reclass-005,p2-recheck-004-evidence.csv,p2-reclass-005-suggestions.csv,200,yes,https://yandex.ru/support/webmaster/ru/indexing-options/index-now.html,0,2,no,no,no,no,yes,no,no,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; final domain changed to yandex.ru,,,,2026-05-22T11:32:51.110Z
coverage-review-p2-006,coverage_manual_review_p2,P2,11,4,128,P2,26,573,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,medium_confidence_requires_human_confirmation,fit_risk,Decide whether this is assisted/manual-strategic; do not automate without explicit login/session plan and persisted selectors.,https://www.yourcupofcake.com/almond-banana-bread,yourcupofcake.com,yourcupofcake.com,unknown,unknown,missing_domain,needs_manual_review,1,,,resources/backlink-resources.json,resources/backlink-resources.json:2226,p2-reclass-005,p2-recheck-004-evidence.csv,p2-reclass-005-suggestions.csv,200,yes,https://www.yourcupofcake.com/almond-banana-bread/,2,6,no,yes,no,no,yes,yes,no,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; 2 form(s), 6 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,,,2026-05-22T11:33:03.157Z
