review_decision,review_instruction,review_notes,reviewed_by,canonical_name,submission_url_override,pricing,lang,classification,candidate_import_recommendation,url,domain,source_files,source_locations,registry_target_ids,registry_submit_urls,occurrence_count
reject_paid,verify_directory_fit_before_approval,"drafted from read-only evidence suggestion; confidence: high; payment/pricing signal appears on a submit/listing surface; evidence: payment/pricing signal found; login/register signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",read_only_evidence,1888pressrelease.com,,paid,unknown,missing_domain,needs_manual_review,https://www.1888pressrelease.com/,1888pressrelease.com,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 141:url; directory-submissions-external-links.md:143,,,2
,verify_directory_fit_before_approval,,,2findlocal.com,,unknown,unknown,missing_domain,needs_manual_review,https://www.2findlocal.com/,2findlocal.com,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 142:url; directory-submissions-external-links.md:144,,,2
,verify_directory_fit_before_approval,,,4shared.com,,unknown,unknown,missing_domain,needs_manual_review,https://www.4shared.com/,4shared.com,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 143:url; directory-submissions-external-links.md:145,,,2
,verify_directory_fit_before_approval,,,500px.com,,unknown,unknown,missing_domain,needs_manual_review,https://500px.com/,500px.com,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 3:url; directory-submissions-external-links.md:5,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/%e5%87%ba%e6%b5%b7%e4%ba%a7%e5%93%81%e8%8e%b7%e5%8f%96%e5%89%8d1000%e4%b8%aa%e7%94%a8%e6%88%b7%e7%9a%84%e5%a4%96%e9%93%be%e6%b8%a0%e9%81%93,91wink.com,91wink-seo-resource-directory.json,91wink-seo-resource-directory.json:json:results[40].articleUrl,,,1
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/%e5%87%ba%e6%b5%b7%e7%bd%91%e7%ab%99seo%e5%a4%96%e9%93%be%e8%b5%84%e6%ba%90,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[0].sources[2].url; 91wink-seo-resource-directory-domains.json:json:[2].sources[1].url; 91wink-seo-resource-directory-domains.json:json:[3].sources[0].url; 91wink-seo-resource-directory-domains.json:json:[3].sources[1].url; 91wink-seo-resource-directory-domains.json:json:[4].sources[0].url; 91wink-seo-resource-directory-domains.json:json:[51].sources[0].url; 91wink-seo-resource-directory-domains.json:json:[52].sources[0].url; 91wink-seo-resource-directory-domains.json:json:[53].sources[0].url; 91wink-seo-resource-directory-domains.json:json:[54].sources[0].url; 91wink-seo-resource-directory-domains.json:json:[55].sources[0].url; 91wink-seo-resource-directory.json:json:results[44].articleUrl,,,11
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/%e5%87%ba%e6%b5%b7%e7%bd%91%e7%ab%99seo%e5%a4%96%e9%93%be%e8%b5%84%e6%ba%90-2,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[0].sources[0].url; 91wink-seo-resource-directory-domains.json:json:[0].sources[1].url; 91wink-seo-resource-directory-domains.json:json:[1].sources[0].url; 91wink-seo-resource-directory-domains.json:json:[1].sources[1].url; 91wink-seo-resource-directory.json:json:results[41].articleUrl,,,5
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/%e7%8b%ac%e7%ab%8b%e5%bc%80%e5%8f%91%e8%80%85%e5%87%ba%e6%b5%b7%e4%ba%a7%e5%93%81%e5%8f%91%e5%b8%83%e5%b9%b3%e5%8f%b0,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[45].sources[0].url; 91wink-seo-resource-directory-domains.json:json:[46].sources[0].url; 91wink-seo-resource-directory-domains.json:json:[47].sources[0].url; 91wink-seo-resource-directory-domains.json:json:[48].sources[0].url; 91wink-seo-resource-directory.json:json:results[42].articleUrl,,,5
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/%e7%a7%91%e6%8a%80%e7%88%b1%e5%a5%bd%e8%80%85%e5%91%a8%e5%88%8a,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[56].sources[0].url; 91wink-seo-resource-directory-domains.json:json:[57].sources[0].url; 91wink-seo-resource-directory.json:json:results[46].articleUrl,,,3
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/%e8%87%aa%e5%8a%a8%e5%8c%96%e5%a4%96%e9%93%be%e5%bb%ba%e8%ae%be%e5%b7%a5%e5%85%b7-backlinkhelper-chrome-%e6%8f%92%e4%bb%b6,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[43].sources[0].url; 91wink-seo-resource-directory.json:json:results[38].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/ai-tech-viral-ai%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[28].sources[0].url; 91wink-seo-resource-directory.json:json:results[23].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/ai-x-collection-ai-%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa%e7%ab%99,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[38].sources[0].url; 91wink-seo-resource-directory.json:json:results[33].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/ai%e4%ba%a7%e5%93%81%e6%94%b6%e5%bd%95%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[2].sources[0].url; 91wink-seo-resource-directory-domains.json:json:[49].sources[0].url; 91wink-seo-resource-directory-domains.json:json:[50].sources[0].url; 91wink-seo-resource-directory.json:json:results[43].articleUrl,,,4
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/aigc-160-ai-%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[32].sources[0].url; 91wink-seo-resource-directory.json:json:results[27].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/appa-list-ai%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[11].sources[0].url; 91wink-seo-resource-directory.json:json:results[6].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/ash-list-ai%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[27].sources[0].url; 91wink-seo-resource-directory.json:json:results[22].articleUrl,,,2
reject_source_page,do_not_import_source_page,,,91wink.com,,unknown,unknown,missing_domain,skip_source_page,https://91wink.com/latest-ai-updates-ai-%e5%b7%a5%e5%85%b7%e5%af%bc%e8%88%aa,91wink.com,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[36].sources[0].url; 91wink-seo-resource-directory.json:json:results[31].articleUrl,,,2
