queue_order,target_id,name,domain,mode,submit_url,http_status,fetch_ok,final_url,final_domain,domain_changed,content_type,title,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,free_signal,freemium_signal,pricing_page_signal,pricing_page_links,suggested_pricing_signal,evidence_notes,fetch_error,checked_at
1,cooltools,Cooltools,backdata.net,auto_safe,https://backdata.net/submit-site.html,200,yes,https://backdata.net/submit-site.html,backdata.net,no,text/html,Submit a Website to Backdata 提交网站,1,7,yes,yes,yes,no,no,no,no,no,no,no,no,,unknown,submit/add/list button signal found; submit-like URL path found,,2026-05-23T10:53:31.583Z
2,247webdirectory,247WebDirectory,247webdirectory.com,assisted,https://www.247webdirectory.com/,200,yes,https://www.247webdirectory.com/,247webdirectory.com,no,text/html,General Web Directory | Submit URL | 247WebDirectory.com,1,1,no,no,yes,no,no,no,no,no,no,no,yes,https://www.247webdirectory.com/addictions.htm | https://www.247webdirectory.com/plants.htm,unknown,pricing/plan link or text found,,2026-05-23T10:53:31.583Z
3,asr,ASR,activesearchresults.com,assisted,https://www.activesearchresults.com/addwebsite.php,200,yes,https://www.activesearchresults.com/addwebsite.php,activesearchresults.com,no,text/html; charset=UTF-8,Add Your Website to the Active Search Results Search Engine,1,5,yes,no,yes,yes,no,no,no,no,no,no,yes,https://www.activesearchresults.com/addwebsite.php,unknown,pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-23T10:53:31.583Z
4,ai-ailookme,AI工具箱 (ailookme),ailookme.com,assisted,https://www.ailookme.com/%e7%bd%91%e5%9d%80%e6%8f%90%e4%ba%a4,200,yes,https://www.ailookme.com/%e7%bd%91%e5%9d%80%e6%8f%90%e4%ba%a4,ailookme.com,no,text/html; charset=UTF-8,AI工具网址提交 | 人工智能工具网址提交 | 人工智能工具箱 | 人工智能导航网站 | AI工具箱 | AI工具箱,1,32,yes,no,yes,yes,no,no,no,no,no,no,yes,https://www.ailookme.com/%e7%bd%91%e5%9d%80%e6%8f%90%e4%ba%a4,unknown,pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-23T10:53:31.583Z
5,ai-nav,AI NAV,ainavpro.com,assisted,https://www.ainavpro.com/contribute,200,yes,https://www.ainavpro.com/contribute,ainavpro.com,no,text/html; charset=UTF-8,网站提交 | Ai导航,2,34,yes,no,yes,no,no,no,no,no,no,no,yes,https://www.ainavpro.com/contribute,unknown,pricing/plan link or text found; submit/add/list button signal found,,2026-05-23T10:53:31.583Z
6,appalist-com,https://appalist.com/,appalist.com,assisted,https://appalist.com/,200,yes,https://appalist.com/,appalist.com,no,text/html,"AI Apps for Everyday Work, Marketing, and Productivity - Appa List (2026)",2,2,yes,yes,yes,yes,no,no,no,yes,no,no,yes,https://submitsaas.com/ | https://appalist.com/ | https://appalist.com/latest | https://appalist.com/explore | https://appalist.com/get-started,paid,paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found; auth/login signal found,,2026-05-23T10:53:31.583Z
7,ashlist-com,https://ashlist.com,ashlist.com,assisted,https://ashlist.com/,200,yes,https://ashlist.com/,ashlist.com,no,text/html,Curated Software Products to Compare by Category and Fit - Ash List (2026),3,3,yes,yes,yes,yes,no,no,no,yes,no,no,yes,https://ashlist.com/get-started | https://submitsaas.com/ | https://ashlist.com/ | https://ashlist.com/product/vibebot-gg | https://ashlist.com/pricing/freemium,paid,paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found; auth/login signal found,,2026-05-23T10:53:31.583Z
8,betalist-com,https://betalist.com,betalist.com,assisted,https://betalist.com/,200,yes,https://betalist.com/,betalist.com,no,text/html; charset=utf-8,Discover and get early access to tomorrow&#39;s startups | BetaList,56,169,yes,yes,yes,yes,no,yes,no,no,no,no,yes,https://betalist.com/ | https://betalist.com/sign_in | https://betalist.com/submit,unknown,pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found; auth/login signal found; CAPTCHA/Cloudflare signal found,,2026-05-23T10:53:31.583Z
9,changelog,Changelog,changelog.com,assisted,https://changelog.com/news/submit,200,yes,https://changelog.com/news/submit,changelog.com,no,text/html; charset=utf-8,Submit news,4,11,yes,yes,yes,yes,no,no,no,no,no,yes,yes,https://changelog.com/news/submit | https://changelog.com/sponsor/pricing,freemium,free plus premium/sponsored signal found; pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found; auth/login signal found,,2026-05-23T10:53:31.583Z
10,foundr-ai,Foundr.ai,foundr.ai,assisted,https://foundr.ai/,200,yes,https://foundr.ai/,foundr.ai,no,text/html; charset=UTF-8,Foundr | Discover The Best AI Tools,2,23,yes,no,yes,yes,no,yes,no,no,no,yes,yes,https://foundr.ai/login | https://foundr.ai/tools/payments,freemium,free plus premium/sponsored signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found; CAPTCHA/Cloudflare signal found,,2026-05-23T10:53:31.583Z
11,fwol-cn,名站在线,fwol.cn,assisted,http://www.fwol.cn/infos_add.php,200,yes,http://www.fwol.cn/infos_add.php,fwol.cn,no,text/html,�����վ��¼_��վ����,1,10,yes,no,no,no,no,no,no,no,no,no,yes,javascript:window.external.AddFavorite( | http://www.fwol.cn/infos_add.php | http://www.fwol.cn/newslist.php | http://www.fwol.cn/tlinklist.php,unknown,pricing/plan link or text found; submit/add/list button signal found,,2026-05-23T10:53:31.583Z
12,hhlink-com,海外导航网,hhlink.com,assisted,https://www.hhlink.com/%E6%8F%90%E4%BA%A4%E6%96%B0%E7%BD%91%E7%AB%99,200,yes,https://www.hhlink.com/%E6%8F%90%E4%BA%A4%E6%96%B0%E7%BD%91%E7%AB%99,hhlink.com,no,text/html; charset=utf-8,提交新网站 - 海外导航网,1,20,yes,no,yes,no,no,no,no,no,no,no,yes,https://www1.hhlink.com/%E6%8F%90%E4%BA%A4%E6%96%B0%E7%BD%91%E7%AB%99 | https://www4.hhlink.com/%E6%8F%90%E4%BA%A4%E6%96%B0%E7%BD%91%E7%AB%99 | https://www.hhlink.com/%E6%8F%90%E4%BA%A4%E6%96%B0%E7%BD%91%E7%AB%99,unknown,pricing/plan link or text found; submit/add/list button signal found,,2026-05-23T10:53:31.583Z
13,iforai,iforai,iforai.com,assisted,https://iforai.com/submit_website,200,yes,https://iforai.com/submit_website,iforai.com,no,text/html; charset=UTF-8,iForAi网址提交页面 | i For AI - 人工智能AI工具，一站式导航,2,49,yes,yes,yes,no,no,no,no,no,no,no,yes,https://iforai.com/submit_website/ | https://iforai.com/login/?redirect_to=https://iforai.com/submit_website,unknown,pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found,,2026-05-23T10:53:31.583Z
14,joinly-joinly-xyz,Joinly,joinly.xyz,assisted,https://www.joinly.xyz/,200,yes,https://www.joinly.xyz/,joinly.xyz,no,text/html; charset=utf-8,Joinly - The Latest Tech Startups and Products,1,1,yes,no,yes,no,no,no,no,no,no,no,yes,https://www.joinly.xyz/submit-startup,unknown,pricing/plan link or text found; submit/add/list button signal found,,2026-05-23T10:53:31.583Z
15,launchscroll-com,https://launchscroll.com/,launchscroll.com,assisted,https://launchscroll.com/,200,yes,https://launchscroll.com/,launchscroll.com,no,text/html,"New Software Launches to Scroll, Compare, and Track - Launch Scroll (2026)",3,3,yes,no,yes,yes,no,no,no,yes,no,no,yes,https://submitsaas.com/ | https://launchscroll.com/get-started | https://launchscroll.com/pricing/freemium | https://launchscroll.com/pricing/free | https://launchscroll.com/product/checkoutreceipt,paid,paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-23T10:53:31.583Z
16,lbbai-com,老北鼻AI导航,lbbai.com,assisted,https://lbbai.com/contribute,200,yes,https://lbbai.com/contribute,lbbai.com,no,text/html; charset=UTF-8,网站提交 | 老北鼻AI工具箱,3,21,yes,no,yes,yes,no,no,no,no,no,no,yes,https://lbbai.com/contribute,unknown,pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-23T10:53:31.583Z
