batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls
p2-002,101,P2,37,350,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,make.com,unknown,unknown,missing_domain,needs_manual_review,https://www.make.com/en/partners,make.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 207:url; directory-submissions-external-links.md:209,,
p2-002,102,P2,37,351,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,makerpad.co,unknown,unknown,missing_domain,needs_manual_review,https://www.makerpad.co/,makerpad.co,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 208:url; directory-submissions-external-links.md:210,,
p2-002,103,P2,37,352,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,makerthrive.com,unknown,unknown,missing_domain,needs_manual_review,https://makerthrive.com/,makerthrive.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 85:url; directory-submissions-external-links.md:87,,
p2-002,104,P2,37,357,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,manta.com,unknown,unknown,missing_domain,needs_manual_review,https://www.manta.com/,manta.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 209:url; directory-submissions-external-links.md:211,,
p2-002,105,P2,37,358,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,massagetherapy.com,unknown,unknown,missing_domain,needs_manual_review,https://www.massagetherapy.com/,massagetherapy.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 210:url; directory-submissions-external-links.md:212,,
p2-002,106,P2,37,360,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,merchantcircle.com,unknown,unknown,missing_domain,needs_manual_review,https://www.merchantcircle.com/,merchantcircle.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 211:url; directory-submissions-external-links.md:213,,
p2-002,107,P2,37,364,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,mixcloud.com,unknown,unknown,missing_domain,needs_manual_review,https://www.mixcloud.com/,mixcloud.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 212:url; directory-submissions-external-links.md:214,,
p2-002,108,P2,37,366,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,modelmayhem.com,unknown,unknown,missing_domain,needs_manual_review,https://www.modelmayhem.com/,modelmayhem.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 213:url; directory-submissions-external-links.md:215,,
p2-002,109,P2,37,371,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,mumsnet.com,unknown,unknown,missing_domain,needs_manual_review,https://www.mumsnet.com/Talk,mumsnet.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 214:url; directory-submissions-external-links.md:216,,
p2-002,110,P2,37,373,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,my.g2.com,unknown,unknown,missing_domain,needs_manual_review,https://my.g2.com/sellers/welcome,my.g2.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 87:url; directory-submissions-external-links.md:89,,
p2-002,111,P2,37,377,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,myfolio.com,unknown,unknown,missing_domain,needs_manual_review,https://myfolio.com/,myfolio.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 88:url; directory-submissions-external-links.md:90,,
