batch_id,batch_order,review_row,review_action,url,domain,http_status,fetch_ok,final_url,final_domain,domain_changed,content_type,title,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,suggested_decision,evidence_notes,fetch_error,checked_at
p2-004,301,330,verify_directory_fit_before_any_approval,https://labsk.net/index.php?action=profile%3Bu%3D50620,labsk.net,200,yes,https://labsk.net/index.php?action=profile%3Bu%3D50620,labsk.net,no,text/html; charset=ISO-8859-1,La BSK - �ndice,1,3,yes,no,yes,no,no,yes,no,no,no,reject_auth_required,"CAPTCHA signal found; 1 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:36:28.612Z
p2-004,302,334,verify_directory_fit_before_any_approval,https://www.learnalanguage.com/blog/italian-greetings-how-are-you-in-italian,learnalanguage.com,200,yes,https://www.learnalanguage.com/blog/italian-greetings-how-are-you-in-italian/,learnalanguage.com,no,text/html; charset=UTF-8,Language Learning &#8211; Blog &raquo; Italian Greetings &#8211; How Are You in Italian,2,8,yes,no,yes,yes,no,no,no,no,no,reject_auth_required,"login/register signal found; 2 form(s), 8 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:36:30.617Z
p2-004,303,335,verify_directory_fit_before_any_approval,https://www.lilistravelplans.com/best-time-to-visit-tanzania,lilistravelplans.com,200,yes,https://www.lilistravelplans.com/best-time-to-visit-tanzania/,lilistravelplans.com,no,text/html; charset=UTF-8,THE BEST TIME TO VISIT TANZANIA - Lili&#039;s Travel Plans - Travel Blog,4,15,yes,no,yes,yes,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; 4 form(s), 15 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:36:34.687Z
p2-004,304,336,verify_directory_fit_before_any_approval,https://www.lilistravelplans.com/chemka-hot-springs-moshi-tanzania,lilistravelplans.com,200,yes,https://www.lilistravelplans.com/chemka-hot-springs-moshi-tanzania/,lilistravelplans.com,no,text/html; charset=UTF-8,"CHEMKA HOT SPRINGS, near Moshi, Tanzania - Lili&#039;s Travel Plans - Travel Blog",4,15,yes,no,yes,yes,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; 4 form(s), 15 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:36:41.730Z
p2-004,305,337,verify_directory_fit_before_any_approval,https://www.lilistravelplans.com/materuni-waterfall-moshi-tanzania,lilistravelplans.com,200,yes,https://www.lilistravelplans.com/materuni-waterfall-moshi-tanzania/,lilistravelplans.com,no,text/html; charset=UTF-8,"MATERUNI WATERFALL, near Moshi, Tanzania - Lili&#039;s Travel Plans - Travel Blog",4,15,yes,no,yes,yes,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; 4 form(s), 15 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:36:44.002Z
p2-004,306,342,verify_directory_fit_before_any_approval,https://loveandmarriageblog.com/beach-water-cocktail,loveandmarriageblog.com,403,no,https://loveandmarriageblog.com/beach-water-cocktail,loveandmarriageblog.com,no,text/html; charset=iso-8859-1,403 Forbidden,0,0,no,no,no,no,no,no,no,no,no,review_fetch_failed,HTTP 403,HTTP 403,2026-05-22T08:36:45.541Z
p2-004,307,343,verify_directory_fit_before_any_approval,https://lovestrategies.com/are-you-a-walking-red-flag-7-habits-that-might-be-sabotaging-your-love-life,lovestrategies.com,200,yes,https://lovestrategies.com/are-you-a-walking-red-flag-7-habits-that-might-be-sabotaging-your-love-life/,lovestrategies.com,no,text/html; charset=UTF-8,Are You a Walking Red Flag? 7 Habits That Might Be Sabotaging Your Love Life,3,30,yes,no,yes,yes,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 30 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:36:48.337Z
p2-004,308,344,verify_directory_fit_before_any_approval,https://lovestrategies.com/types-of-guys-who-stay-single,lovestrategies.com,200,yes,https://lovestrategies.com/types-of-guys-who-stay-single/,lovestrategies.com,no,text/html; charset=UTF-8,19 Types Of Guys Who Stay Single: Should You Date One?,3,30,yes,no,yes,yes,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 30 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:36:53.595Z
p2-004,309,345,verify_directory_fit_before_any_approval,https://www.madrimasd.org/blogs/astrofisica/2022/05/20/134942,madrimasd.org,200,yes,https://www.madrimasd.org/blogs/astrofisica/2022/05/20/134942,madrimasd.org,no,text/html; charset=UTF-8,CULTURA: ¿CIENCIA VERSUS HUMANIDADES? - Cuaderno de bitácora estelar,3,13,yes,no,yes,no,no,yes,no,no,no,reject_auth_required,"CAPTCHA signal found; 3 form(s), 13 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:36:54.350Z
p2-004,310,346,verify_directory_fit_before_any_approval,https://www.madrimasd.org/blogs/matematicas/2024/02/11/150483,madrimasd.org,200,yes,https://www.madrimasd.org/blogs/matematicas/2024/02/11/150483,madrimasd.org,no,text/html; charset=UTF-8,Un workshop para celebrar el 65 cumpleaños de Stephen Wiggins - Matemáticas y sus fronteras,2,11,yes,no,yes,no,no,yes,no,no,no,reject_auth_required,"CAPTCHA signal found; 2 form(s), 11 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T08:36:56.730Z
